step,type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
4,TRANSFER,8553.68,C99072,C99028,23104.0,14550.32,87793.0,96346.68,0,0
5,CASH_IN,669.77,C99001,C99099,1743.0,1073.23,96318.0,96987.77,0,0
8,CASH_OUT,6937.14,C99047,C99017,16809.0,9871.86,16590.0,23527.14,0,0
17,TRANSFER,1780.09,C99047,C99079,2011.0,230.91000000000008,8272.0,10052.09,0,0
27,PAYMENT,4061.67,C99021,C99096,9052.0,4990.33,63621.0,67682.67,0,0
37,CASH_OUT,20976.94,C99024,C99086,39593.0,18616.06,450.0,21426.94,0,0
40,PAYMENT,13530.69,C99081,C99040,35944.0,22413.309999999998,31799.0,45329.69,0,0
53,CASH_IN,4310.95,C99062,C99046,10428.0,6117.05,41156.0,45466.95,0,0
59,PAYMENT,8832.76,C99077,C99010,18711.0,9878.24,79491.0,88323.76,0,0
64,CASH_OUT,1118.19,C99086,C99006,1549.0,430.80999999999995,1574.0,2692.19,0,0
66,PAYMENT,11459.61,C99093,C99078,16232.0,4772.389999999999,67123.0,78582.61,0,0
67,PAYMENT,10409.26,C99078,C99009,24927.0,14517.74,20146.0,30555.260000000002,0,0
70,TRANSFER,5585.0,C99072,C99079,11318.0,5733.0,12811.0,18396.0,0,0
71,PAYMENT,10206.45,C99053,C99094,24973.0,14766.55,13740.0,23946.45,0,0
71,TRANSFER,1405.79,C99046,C99097,2694.0,1288.21,31538.0,32943.79,0,0
72,TRANSFER,11387.92,C99071,C99021,27823.0,16435.08,30595.0,41982.92,0,0
77,CASH_IN,482.82,C99058,C99007,1434.0,951.1800000000001,45511.0,45993.82,0,0
79,TRANSFER,2534.18,C99014,C99066,5693.0,3158.82,9044.0,11578.18,0,0
85,TRANSFER,1133.37,C99066,C99054,1695.0,561.6300000000001,26869.0,28002.37,0,0
90,PAYMENT,18540.01,C99078,C99045,20028.0,1487.9900000000016,45619.0,64159.009999999995,0,0
98,CASH_IN,8010.55,C99009,C99040,23601.0,15590.45,30094.0,38104.55,0,0
99,PAYMENT,18720.94,C99049,C99053,29445.0,10724.060000000001,96028.0,114748.94,0,0
100,DEBIT,1629.88,C99036,C99021,3438.0,1808.12,1766.0,3395.88,0,0
100,TRANSFER,500000.0,C1001,C1002,500000.0,0.0,0.0,500000.0,1,0
101,TRANSFER,490000.0,C1002,C1003,490000.0,0.0,0.0,490000.0,1,0
102,TRANSFER,480000.0,C1003,C1004,480000.0,0.0,0.0,480000.0,1,0
103,TRANSFER,470000.0,C1004,C1001,470000.0,0.0,0.0,470000.0,1,0
104,CASH_OUT,5258.38,C99080,C99079,13465.0,8206.619999999999,66485.0,71743.38,0,0
104,CASH_IN,2067.65,C99066,C99048,5603.0,3535.35,56523.0,58590.65,0,0
106,CASH_IN,6387.1,C99060,C99018,15368.0,8980.9,52582.0,58969.1,0,0
107,TRANSFER,7591.36,C99016,C99029,16358.0,8766.64,15361.0,22952.36,0,0
114,PAYMENT,9560.4,C99017,C99039,14125.0,4564.6,30151.0,39711.4,0,0
129,CASH_IN,2881.6,C99038,C99099,6293.0,3411.4,45856.0,48737.6,0,0
135,CASH_OUT,39861.58,C99065,C99058,115506.0,75644.42,41626.0,81487.58,0,0
135,TRANSFER,7725.9,C99064,C99024,10700.0,2974.1000000000004,29205.0,36930.9,0,0
138,PAYMENT,21990.69,C99043,C99066,36018.0,14027.310000000001,95534.0,117524.69,0,0
143,CASH_IN,2558.26,C99070,C99045,4708.0,2149.74,30753.0,33311.26,0,0
145,PAYMENT,448.42,C99050,C99002,523.0,74.57999999999998,26887.0,27335.42,0,0
146,CASH_OUT,9351.83,C99033,C99098,18690.0,9338.17,50074.0,59425.83,0,0
150,CASH_IN,4455.59,C99054,C99075,9341.0,4885.41,63001.0,67456.59,0,0
171,CASH_IN,2379.81,C99055,C99038,3854.0,1474.19,82978.0,85357.81,0,0
175,TRANSFER,8874.23,C99060,C99079,10952.0,2077.7700000000004,72122.0,80996.23,0,0
176,PAYMENT,30850.66,C99096,C99011,85248.0,54397.34,6655.0,37505.66,0,0
178,TRANSFER,2494.23,C99067,C99081,7324.0,4829.77,92779.0,95273.23,0,0
181,TRANSFER,6295.98,C99056,C99065,11417.0,5121.02,67020.0,73315.98,0,0
183,PAYMENT,1568.79,C99079,C99053,3533.0,1964.21,52637.0,54205.79,0,0
195,TRANSFER,1251.18,C99004,C99013,1420.0,168.81999999999994,83111.0,84362.18,0,0
196,CASH_OUT,3846.58,C99052,C99086,4704.0,857.4200000000001,63556.0,67402.58,0,0
196,PAYMENT,1932.14,C99078,C99074,2984.0,1051.86,7925.0,9857.14,0,0
198,CASH_IN,848.34,C99017,C99042,1873.0,1024.6599999999999,23256.0,24104.34,0,0
200,TRANSFER,95000.0,C2001,C2203,570000.0,475000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2208,95000.0,0.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2207,190000.0,95000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2201,760000.0,665000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2205,380000.0,285000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2206,285000.0,190000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2202,665000.0,570000.0,0.0,95000.0,1,0
200,TRANSFER,95000.0,C2001,C2204,475000.0,380000.0,0.0,95000.0,1,0
201,PAYMENT,27467.8,C99075,C99062,55447.0,27979.2,5450.0,32917.8,0,0
204,TRANSFER,1614.23,C99068,C99009,3793.0,2178.77,34192.0,35806.23,0,0
205,PAYMENT,7438.39,C99049,C99017,15944.0,8505.61,54224.0,61662.39,0,0
210,DEBIT,6381.5,C99005,C99090,7678.0,1296.5,9332.0,15713.5,0,0
212,TRANSFER,5750.54,C99003,C99055,7363.0,1612.46,30217.0,35967.54,0,0
222,TRANSFER,5840.59,C99044,C99010,14585.0,8744.41,84564.0,90404.59,0,0
222,PAYMENT,14853.54,C99042,C99010,31859.0,17005.46,35086.0,49939.54,0,0
223,PAYMENT,1240.55,C99093,C99062,2706.0,1465.45,29475.0,30715.55,0,0
223,CASH_OUT,53241.97,C99033,C99007,113031.0,59789.03,25060.0,78301.97,0,0
224,PAYMENT,16523.17,C99046,C99045,30415.0,13891.830000000002,88739.0,105262.17,0,0
226,CASH_IN,3095.33,C99099,C99022,4807.0,1711.67,40852.0,43947.33,0,0
233,PAYMENT,3513.59,C99044,C99083,8475.0,4961.41,85654.0,89167.59,0,0
245,CASH_IN,21232.81,C99018,C99059,54928.0,33695.19,17059.0,38291.81,0,0
250,DEBIT,7545.88,C99067,C99074,18816.0,11270.119999999999,37999.0,45544.88,0,0
251,DEBIT,3538.56,C99037,C99044,6223.0,2684.44,18291.0,21829.56,0,0
252,TRANSFER,8574.38,C99054,C99077,20393.0,11818.62,85201.0,93775.38,0,0
253,PAYMENT,2940.19,C99052,C99011,3069.0,128.80999999999995,39855.0,42795.19,0,0
268,PAYMENT,20603.46,C99056,C99089,25888.0,5284.540000000001,92105.0,112708.45999999999,0,0
271,CASH_OUT,4219.52,C99097,C99015,4947.0,727.4799999999996,93612.0,97831.52,0,0
271,TRANSFER,55293.74,C99045,C99078,102234.0,46940.26,31096.0,86389.73999999999,0,0
275,TRANSFER,2313.4,C99051,C99013,6248.0,3934.6,38421.0,40734.4,0,0
277,CASH_IN,1747.06,C99094,C99068,4412.0,2664.94,71325.0,73072.06,0,0
286,CASH_IN,1852.04,C99045,C99021,5472.0,3619.96,30207.0,32059.04,0,0
287,CASH_OUT,7959.07,C99024,C99031,16388.0,8428.93,98399.0,106358.07,0,0
291,TRANSFER,3066.29,C99100,C99078,8198.0,5131.71,4321.0,7387.29,0,0
300,TRANSFER,150000.0,C3001,C3002,150000.0,0.0,0.0,150000.0,1,0
301,TRANSFER,155000.0,C3001,C3003,155000.0,0.0,0.0,155000.0,1,0
302,TRANSFER,2535.32,C99034,C99003,3073.0,537.6799999999998,9004.0,11539.32,0,0
302,TRANSFER,160000.0,C3001,C3004,160000.0,0.0,0.0,160000.0,1,0
303,TRANSFER,165000.0,C3002,C3003,165000.0,0.0,0.0,165000.0,1,0
303,CASH_IN,9092.97,C99019,C99100,24654.0,15561.03,70088.0,79180.97,0,0
304,TRANSFER,170000.0,C3002,C3005,170000.0,0.0,0.0,170000.0,1,0
304,CASH_OUT,618.33,C99061,C99032,1756.0,1137.67,3605.0,4223.33,0,0
305,TRANSFER,175000.0,C3003,C3004,175000.0,0.0,0.0,175000.0,1,0
306,TRANSFER,180000.0,C3003,C3005,180000.0,0.0,0.0,180000.0,1,0
307,TRANSFER,185000.0,C3004,C3001,185000.0,0.0,0.0,185000.0,1,0
308,TRANSFER,190000.0,C3004,C3005,190000.0,0.0,0.0,190000.0,1,0
309,CASH_OUT,2393.52,C99038,C99067,2965.0,571.48,50831.0,53224.52,0,0
309,TRANSFER,195000.0,C3005,C3001,195000.0,0.0,0.0,195000.0,1,0
310,TRANSFER,1862.83,C99084,C99021,4989.0,3126.17,80163.0,82025.83,0,0
310,TRANSFER,200000.0,C3005,C3002,200000.0,0.0,0.0,200000.0,1,0
310,TRANSFER,12282.15,C99020,C99009,30435.0,18152.85,82595.0,94877.15,0,0
311,TRANSFER,205000.0,C3005,C3004,205000.0,0.0,0.0,205000.0,1,0
322,CASH_IN,20080.05,C99015,C99028,25374.0,5293.950000000001,1796.0,21876.05,0,0
323,DEBIT,6116.15,C99081,C99024,14464.0,8347.85,63676.0,69792.15,0,0
323,PAYMENT,5759.12,C99067,C99100,13411.0,7651.88,40918.0,46677.12,0,0
325,TRANSFER,1523.56,C99010,C99032,3863.0,2339.44,83225.0,84748.56,0,0
329,CASH_OUT,8301.47,C99074,C99079,17348.0,9046.53,11058.0,19359.47,0,0
329,CASH_IN,4310.73,C99095,C99070,7793.0,3482.2700000000004,91371.0,95681.73,0,0
334,TRANSFER,38280.08,C99072,C99064,60969.0,22688.92,77528.0,115808.08,0,0
339,CASH_IN,3765.41,C99012,C99020,5080.0,1314.5900000000001,83099.0,86864.41,0,0
342,CASH_OUT,12476.14,C99081,C99064,19735.0,7258.860000000001,62185.0,74661.14,0,0
344,PAYMENT,2154.94,C99013,C99057,5041.0,2886.06,94030.0,96184.94,0,0
346,PAYMENT,5281.86,C99093,C99080,10750.0,5468.14,49215.0,54496.86,0,0
350,PAYMENT,3070.6,C99071,C99051,6563.0,3492.4,3726.0,6796.6,0,0
