account_id,pattern_type,description,confidence
C5004,circular,circular pattern · 5 accounts,0.933
C5005,circular,circular pattern · 5 accounts,0.933
C5001,circular,circular pattern · 5 accounts,0.933
C5002,circular,circular pattern · 5 accounts,0.933
C5003,circular,circular pattern · 5 accounts,0.933
C4002,circular,circular pattern · 5 accounts,0.933
C4003,circular,circular pattern · 5 accounts,0.933
C4004,circular,circular pattern · 5 accounts,0.933
C4005,circular,circular pattern · 5 accounts,0.933
C4001,circular,circular pattern · 5 accounts,0.933
C2001,fan_out,fan_out pattern · 8 receivers,0.892
C2203,fan_out,fan_out pattern · 8 receivers,0.892
C2208,fan_out,fan_out pattern · 8 receivers,0.892
C2207,fan_out,fan_out pattern · 8 receivers,0.892
C2201,fan_out,fan_out pattern · 8 receivers,0.892
C2205,fan_out,fan_out pattern · 8 receivers,0.892
C2206,fan_out,fan_out pattern · 8 receivers,0.892
C2202,fan_out,fan_out pattern · 8 receivers,0.892
C2204,fan_out,fan_out pattern · 8 receivers,0.892
C3001,circular,circular pattern · 5 accounts,0.887
C3002,circular,circular pattern · 5 accounts,0.887
C3003,circular,circular pattern · 5 accounts,0.887
C3005,circular,circular pattern · 5 accounts,0.887
C3004,circular,circular pattern · 5 accounts,0.887
C3001,circular,circular pattern · 5 accounts,0.883
C3002,circular,circular pattern · 5 accounts,0.883
C3003,circular,circular pattern · 5 accounts,0.883
C3004,circular,circular pattern · 5 accounts,0.883
C3005,circular,circular pattern · 5 accounts,0.883
C5004,circular,circular pattern · 4 accounts,0.867
C5005,circular,circular pattern · 4 accounts,0.867
C5002,circular,circular pattern · 4 accounts,0.867
C5003,circular,circular pattern · 4 accounts,0.867
C4003,circular,circular pattern · 4 accounts,0.867
C4004,circular,circular pattern · 4 accounts,0.867
C4005,circular,circular pattern · 4 accounts,0.867
C4001,circular,circular pattern · 4 accounts,0.867
C1001,circular,circular pattern · 4 accounts,0.867
C1002,circular,circular pattern · 4 accounts,0.867
C1003,circular,circular pattern · 4 accounts,0.867
C1004,circular,circular pattern · 4 accounts,0.867
C5004,circular,circular pattern · 4 accounts,0.863
C5005,circular,circular pattern · 4 accounts,0.863
C5001,circular,circular pattern · 4 accounts,0.863
C5003,circular,circular pattern · 4 accounts,0.863
C5004,circular,circular pattern · 4 accounts,0.855
C5001,circular,circular pattern · 4 accounts,0.855
C5002,circular,circular pattern · 4 accounts,0.855
C5003,circular,circular pattern · 4 accounts,0.855
C3005,circular,circular pattern · 4 accounts,0.759
C3002,circular,circular pattern · 4 accounts,0.759
C3003,circular,circular pattern · 4 accounts,0.759
C3004,circular,circular pattern · 4 accounts,0.759
C3001,circular,circular pattern · 4 accounts,0.757
C3003,circular,circular pattern · 4 accounts,0.757
C3005,circular,circular pattern · 4 accounts,0.757
C3004,circular,circular pattern · 4 accounts,0.757
